ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V11B_C2,13,4609.0,4517.0,92.0,238362.7663577245,10.55,0,11B,390000.0,4.95,0.6111865804044218,931.1111111111111,True
V11B_C3,3,3863.0,3863.0,0.0,223388.63841717364,17.29,0,11B,465000.0,4.95,0.48040567401542716,780.4040404040404,True
V11B_C4,7,3673.0,3649.0,24.0,198186.68125266736,19.19,4,11B,318000.0,4.95,0.6232285573983251,742.020202020202,True
V11B_C5,5,2128.0,2126.0,2.0,91195.4891429359,22.5,1,11B,560000.0,4.95,0.16284908775524268,429.8989898989899,True
V11B_C6,4,1832.0,1832.0,0.0,100935.11814484786,20.46,1,11B,500000.0,4.95,0.20187023628969572,370.1010101010101,True
V11B_C7,3,2759.5,2759.5,0.0,243034.39958162894,10.44,0,11B,430000.0,4.95,0.5651962780968115,557.4747474747475,True
V11B_C8,9,4139.0,4139.0,0.0,320653.38001629914,16.14,4,11B,450000.0,4.95,0.7125630667028869,836.1616161616162,True
V11B_C9,2,856.7,856.7,0.0,67402.0,12.71,2,11B,370000.0,4.95,0.18216756756756758,173.07070707070707,True
V11C_C1,3,2526.0,2526.0,0.0,134644.54881266493,22.74,2,11C,240000.0,2.98,0.5610189533861039,847.6510067114094,True
V11C_C10,2,436.0,436.0,0.0,24848.0,16.8,2,11C,200000.0,2.98,0.12424,146.30872483221478,True
V11C_C2,3,2054.0,2043.0,11.0,119461.14046903187,16.63,1,11C,270000.0,2.98,0.44244866840382174,689.261744966443,True
V11C_C3,2,163.0,163.0,0.0,27306.323499071594,5.92,0,11C,277600.0,2.98,0.09836571865659796,54.69798657718121,True
V11C_C4,1,2576.0,2576.0,0.0,187892.04959883296,13.71,0,11C,250000.0,2.98,0.7515681983953318,864.4295302013422,True
V11C_C5,4,1748.0,1748.0,0.0,104768.60878885316,18.66,3,11C,260000.0,2.98,0.40295618764943525,586.5771812080537,True
V11C_C7,9,2306.5,2286.0,20.5,172978.4250681199,14.68,8,11C,220000.0,2.98,0.786265568491454,773.993288590604,True
V11C_C8,6,2364.5,2364.5,0.0,114813.25027536899,21.71,1,11C,250000.0,2.98,0.459253001101476,793.4563758389262,True
V12A_C1,17,17239.5,16537.5,702.0,1214881.6405885678,17.89,2,12A,1225000.0,22.61,0.9917401147661778,762.4723573639983,True
V12A_C2,14,16350.0,16299.0,51.0,687816.806592233,24.64,11,12A,1390000.0,22.61,0.49483223495844103,723.1313578062804,True
V12A_C3,10,17563.0,17542.0,21.0,1198824.4849208733,16.11,4,12A,1400000.0,22.61,0.8563032035149095,776.780185758514,True
V12A_C4,12,19053.5,19033.5,20.0,1083788.0,21.34,10,12A,1450000.0,22.61,0.74744,842.702344095533,True
V12A_C5,31,11614.0,11519.0,95.0,871992.5220179877,17.12,13,12A,1500000.0,22.61,0.5813283480119917,513.6665192392746,True
V12A_C6,6,19999.0,19996.0,3.0,1523617.6953547376,12.45,4,12A,1500000.0,22.61,1.0157451302364917,884.5201238390093,False
V12A_C7,5,2209.4,2209.4,0.0,189323.0,12.62,5,12A,1100000.0,22.61,0.17211181818181817,97.71782397169395,True
V12B1_C1,1,192.0,192.0,0.0,14446.952595936795,13.29,0,12B1,30500.0,0.243,0.4736705769159605,790.1234567901234,True
V12B1_C2,2,382.0,376.0,6.0,23603.54041570439,17.32,0,12B1,30000.0,0.243,0.7867846805234796,1572.0164609053497,True
V12B1_C4,1,174.0,174.0,0.0,6492.537313432836,26.8,0,12B1,55000.0,0.243,0.1180461329715061,716.0493827160494,True
V12B1_C5,3,284.5,284.5,0.0,24610.776671283584,7.36,0,12B1,25000.0,0.243,0.9844310668513433,1170.7818930041153,True
V12B1_C6,2,188.0,172.0,16.0,8319.258663987945,19.91,0,12B1,24000.0,0.243,0.3466357776661644,773.6625514403293,True
V12B2_C1,1,70.0,70.0,0.0,7700.770077007701,9.09,0,12B2,7000.0,0.122,1.1001100110011002,573.7704918032787,False
V12B2_C2,1,80.0,80.0,0.0,5006.2578222778475,15.98,0,12B2,8000.0,0.122,0.6257822277847309,655.7377049180328,True
V12B2_C4,1,112.0,112.0,0.0,10000.0,11.2,0,12B2,13500.0,0.122,0.7407407407407407,918.032786885246,True
