DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
21/02/2024,1018.0,3.5,1.538,17.52,58304.0,True,1021.5,V1_C4,1,58304.79452054795,58304.0
30/01/2024,1186.0,3.0,1.534,16.93,70230.0,True,1189.0,V11B_C4,11B,70230.36030714707,70230.0
31/01/2025,2040.0,3.0,1724,9.07,225248.0,True,2043.0,V12A_C6,12A,225248.07056229326,225248.0
04/12/2023,504.0,3.0,1.514,14.46,34854.0,True,507.0,V8_C3,8,35062.24066390041,34854.0
,3.0,3.0,,,,False,6.0,V12B5_C3,12B5,,
17/12/2023,1746.0,3.0,1.519,13.01,134204.0,True,1749.0,V12B5_C3,12B5,134435.04996156803,134204.0
29/04/2024,300.0,2.0,1.574,13.15,22813.0,True,302.0,V14_C4,14,22965.779467680608,22813.0
29/10/2023,3288.0,2.0,1.494,15.48,212532.0,True,3290.0,V12A_C3,12A,212532.29974160207,212532.0
26/03/2023,2873.0,2.0,1.374,13.65,210622.0,True,2875.0,V12A_C2,12A,210622.7106227106,210622.0
25/03/2024,1470.0,2.0,1.552,19.19,76706.0,True,1472.0,V11A_C4,11A,76706.61803022407,76706.0
05/03/2023,599.0,2.0,1.366,21.2,28349.0,True,601.0,V4_C2,4,28349.056603773584,28349.0
27/01/2023,300.0,2.0,1.351,15.75,19174.0,True,302.0,V1_C2,1,19174.603174603173,19174.0
30/12/2022,750.0,2.0,1.336.,16.26,46248.0,True,752.0,V12A_C1,12A,46248.46248462484,46248.0
13/05/2024,200.0,2.0,1.582,20.13,10034.0,True,202.0,V11B_C5,11B,10034.7739692002,10034.0
04/03/2023,1011.0,2.0,1.365,20.19,50173.0,True,1013.0,V1_C2,1,50173.35314512134,50173.0
05/03/2023,238.0,1.5,1.366,14.71,16281.0,True,239.5,V10_C1,10,16281.441196464988,16281.0
04/01/2024,1124.0,1.0,1.524,21.83,51488.0,False,1125.0,V8_C3,8,51534.58543289052,51488.0
29/07/2024,251.5,1.0,1.618,12.09,20885.0,True,252.5,V12B4_C6,12B4,20885.028949545078,20885.0
01/02/2024,304.0,1.0,1.535,11.28,27039.0,True,305.0,V13_C4,13,27039.007092198583,27039.0
06/03/2023,302.0,0.6,1.368,21.69,13951.0,True,302.6,V1_C2,1,13951.129552789303,13951.0
28/04/2023,2488.0,0.0,1.392,19.75,125974.0,True,2488.0,V12A_C2,12A,125974.6835443038,125974.0
30/01/2024,60.0,0.0,1.533,16.93,3544.0,True,60.0,V11B_C4,11B,3544.0047253396338,3544.0
09/05/2023,400.0,0.0,1.401,21.92,18248.0,True,400.0,V12A_C2,12A,18248.17518248175,18248.0
15/05/2023,2250.0,0.0,1.402,22.22,101.26,True,2250.0,V12A_C2,12A,101260.12601260126,101.26
15/05/2023,874.0,0.0,1.403,22.22,39.333,True,874.0,V12A_C2,12A,39333.933393339335,39.333
27/10/2023,76.0,0.0,1.492,17.43,,False,76.0,V11B_C3,11B,4360.29833620195,4360.29833620195
27/10/2023,3687.0,0.0,1.491,17.29,,False,3687.0,V11B_C3,11B,213244.65008675537,213244.65008675537
28/05/2023,451.0,0.0,1.408,20.51,21989.0,True,451.0,V12A_C2,12A,21989.2735251097,21989.0
31/05/2023,497.0,0.0,1.411,24.08,20639.0,True,497.0,V12A_C2,12A,20639.53488372093,20639.0
10/11/2022,1536.5,0.0,1.295,12.63,,False,1536.5,V12A_C1,12A,121654.7901821061,121654.7901821061
08/06/2023,3998.0,0.0,1.415,23.0,173826.0,True,3998.0,V12A_C2,12A,173826.08695652173,173826.0
27/10/2023,100.0,0.0,1.490,17.29,,False,100.0,V11B_C3,11B,5783.68999421631,5783.68999421631
05/07/2023,96.0,0.0,1.431,24.92,,False,96.0,V11B_C2,11B,3852.3274478330654,3852.3274478330654
04/07/2023,374.0,0.0,1.430,24.92,,False,374.0,V11B_C2,11B,15008.025682182984,15008.025682182984
26/04/2023,394.0,0.0,1.387,20.6,,False,394.0,V12A_C2,12A,19126.21359223301,19126.21359223301
24/02/2024,1035.0,0.0,1.541,22.54,,False,1035.0,V11B_C4,11B,45918.36734693878,45918.36734693878
07/06/2023,315.0,0.0,1.413,24.64,12778.0,True,315.0,V12A_C2,12A,12784.090909090908,12778.0
23/11/2022,150.0,0.0,1.299,14.91,,False,150.0,V12A_C1,12A,10060.36217303823,10060.36217303823
24/11/2022,110.0,0.0,1.301,14.91,,False,110.0,V12A_C1,12A,7377.598926894701,7377.598926894701
24/02/2024,252.0,0.0,1.540,22.54,,False,252.0,V11B_C4,11B,11180.124223602485,11180.124223602485
24/11/2022,110.0,0.0,1.300,14.91,,False,110.0,V12A_C1,12A,7377.598926894701,7377.598926894701
19/12/2022,80.0,0.0,1.311,19.3,,False,80.0,V12A_C1,12A,4145.077720207254,4145.077720207254
20/12/2022,2520.0,0.0,1.312,19.3,,False,2520.0,V12A_C1,12A,130569.94818652849,130569.94818652849
20/12/2022,510.0,0.0,1.313,19.74,,False,510.0,V12A_C1,12A,25835.86626139818,25835.86626139818
20/12/2022,30.0,0.0,1.314,19.74,,False,30.0,V12A_C1,12A,1519.756838905775,1519.756838905775
29/12/2022,2170.0,0.0,1.334.,17.89,,False,2170.0,V12A_C1,12A,121296.81386249301,121296.81386249301
03/01/2023,60.0,0.0,1337.,17.89,,False,60.0,V12A_C1,12A,3353.828954723309,3353.828954723309
19/11/2023,3132.0,0.0,1.505,15.67,,False,3132.0,V12A_C3,12A,199872.36758136566,199872.36758136566
19/11/2023,160.0,0.0,1.507,15.67,,False,160.0,V12A_C3,12A,10210.593490746649,10210.593490746649
20/11/2023,3100.0,0.0,1.508,15.6,,False,3100.0,V12A_C3,12A,198717.94871794872,198717.94871794872
23/11/2023,833.5,0.0,1.510,14.69,,False,833.5,V12A_C3,12A,56739.278420694354,56739.278420694354
19/02/2024,621.0,0.0,1.537,11.57,53673.0,False,621.0,V12A_C4,12A,53673.292999135694,53673.0
09/03/2024,1957.0,0.0,1.544,11.39,171817.0,True,1957.0,V12A_C4,12A,171817.38366988586,171817.0
13/03/2024,398.0,0.0,1.546,12.27,32436.0,True,398.0,V12A_C4,12A,32436.837815810923,32436.0
22/03/2024,1473.5,0.0,1.550,12.57,111223.0,True,1473.5,V12A_C4,12A,117223.54813046937,111223.0
31/03/2024,1215.0,0.0,1.558,12.57,96658.0,True,1215.0,V12A_C4,12A,96658.71121718377,96658.0
12/04/2024,694.0,0.0,1.568,15.48,44832.0,True,694.0,V12A_C4,12A,44832.04134366925,44832.0
04/03/2023,350.0,0.0,1.396,16.01,,False,350.0,V11B_C2,11B,21861.336664584633,21861.336664584633
28/05/2024,3875.0,0.0,1.593,21.87,177183.0,True,3875.0,V12A_C4,12A,177183.35619570187,177183.0
05/04/2023,260.0,0.0,1.378,10.55,,False,260.0,V11B_C2,11B,24644.549763033174,24644.549763033174
