ID_CULTIVO,VIVEIRO,ORDEM,DIAS,RACAO_ACUM,RACAO_ACUM_POR_PL,DENSIDADE_PL_M2,SUP_05,TEMP_05,PH_05,SAL_14,PESO
V5_C4,5,105,96.0,3443.0,0.0038255555555555556,23.81,3.6,29.8,8.8,32.0,6.5
V5_C4,5,112,103.0,3888.0,0.00432,23.81,3.2,29.4,8.8,28.0,6.5
V5_C4,5,119,110.0,4358.0,0.004842222222222223,23.81,2.7,29.4,8.8,27.0,6.5
V5_C4,5,133,124.0,5408.0,0.006008888888888889,23.81,3.2,27.5,8.8,25.0,8.0
V5_C4,5,140,131.0,5823.0,0.00647,23.81,,,,26.0,8.0
V5_C4,5,147,138.0,6283.0,0.0069811111111111115,23.81,,,,,9.3
V5_C4,5,154,145.0,6753.0,0.007503333333333333,23.81,,,,,10.3
V5_C4,5,161,152.0,7183.0,0.00798111111111111,23.81,4.0,28.0,8.8,20.0,12.7
V5_C4,5,168,159.0,7603.0,0.008447777777777778,23.81,4.4,28.3,8.8,18.0,12.8
V5_C4,5,175,166.0,8023.0,0.008914444444444444,23.81,3.3,29.0,8.8,20.0,12.8
V5_C5,5,49,14.0,276.0,0.0008761904761904762,8.33,4.7,25.7,,10.0,7.0
V5_C5,5,56,21.0,401.0,0.001273015873015873,8.33,5.8,25.1,9.0,14.0,9.6
V5_C5,5,63,28.0,627.0,0.0019904761904761905,8.33,4.5,26.5,9.0,14.0,13.3
V5_C5,5,70,28.0,738.0,0.002342857142857143,8.33,4.5,26.5,9.0,14.0,13.3
V5_C5,5,77,35.0,991.0,0.003146031746031746,8.33,4.5,25.8,9.0,16.0,14.4
V5_C5,5,84,42.0,1261.0,0.004003174603174603,8.33,4.4,26.8,9.0,,18.0
V5_C5,5,91,49.0,1534.0,0.00486984126984127,8.33,4.9,25.6,9.0,20.0,19.5
V5_C5,5,98,56.0,1724.0,0.005473015873015873,8.33,4.5,25.5,9.0,20.0,23.0
V5_C6,5,35,21.0,87.0,0.00010235294117647059,22.49,4.3,25.9,8.6,30.0,1.2
V5_C6,5,42,28.0,111.0,0.00013058823529411764,22.49,3.2,26.8,8.8,30.0,1.4
V5_C6,5,49,35.0,201.0,0.00023647058823529412,22.49,3.8,26.8,8.6,33.0,3.5
V5_C6,5,56,42.0,419.0,0.0004929411764705882,22.49,4.4,27.1,8.6,33.0,4.0
V5_C6,5,63,49.0,599.0,0.0007047058823529412,22.49,4.3,27.6,8.6,35.0,5.0
V5_C6,5,70,56.0,806.0,0.0009482352941176471,22.49,4.1,26.1,8.8,35.0,5.4
V5_C6,5,77,63.0,1126.0,0.0013247058823529412,22.49,4.2,27.0,8.8,35.0,6.1
V5_C6,5,91,77.0,1881.0,0.002212941176470588,22.49,4.1,28.0,8.9,35.0,8.7
V5_C6,5,98,84.0,2246.0,0.0026423529411764707,22.49,3.4,28.6,8.9,36.0,9.7
V5_C6,5,105,91.0,2591.0,0.003048235294117647,22.49,3.7,27.2,8.9,35.0,11.3
V5_C7,5,28,25.0,206.0,0.0002423529411764706,22.49,3.8,28.8,8.9,35.0,2.1
V5_C7,5,35,32.0,446.0,0.0005247058823529411,22.49,2.8,29.3,8.8,,2.5
V5_C7,5,42,39.0,816.0,0.00096,22.49,2.9,28.9,8.8,35.0,2.5
V5_C7,5,49,46.0,1121.0,0.0013188235294117646,22.49,3.2,28.8,8.8,30.0,3.0
V5_C7,5,56,53.0,1511.0,0.0017776470588235294,22.49,2.1,29.3,8.8,30.0,4.2
V5_C7,5,63,60.0,1931.0,0.002271764705882353,22.49,3.0,28.6,8.8,,4.2
V5_C7,5,70,67.0,2351.0,0.0027658823529411766,22.49,3.8,29.3,8.8,30.0,5.5
V5_C7,5,77,74.0,2711.0,0.0031894117647058825,22.49,2.4,28.6,8.8,30.0,6.0
V5_C7,5,84,81.0,3251.0,0.003824705882352941,22.49,,,,22.0,9.0
V5_C7,5,91,88.0,3731.0,0.004389411764705882,22.49,2.3,28.9,8.8,23.0,9.0
V5_C8,5,21,5.0,482.0,0.0020510638297872343,6.22,5.0,28.8,8.7,,5.5
V5_C8,5,28,12.0,782.0,0.0033276595744680853,6.22,3.6,29.0,8.7,,8.0
V5_C8,5,35,19.0,1127.0,0.004795744680851064,6.22,3.5,28.4,8.7,28.0,10.7
V5_C8,5,42,26.0,1532.0,0.006519148936170213,6.22,5.3,28.4,8.7,30.0,13.0
V5_C8,5,49,33.0,1952.0,0.008306382978723404,6.22,4.9,27.8,,28.0,14.5
V5_C8,5,56,40.0,2402.0,0.01022127659574468,6.22,4.0,27.5,,25.0,17.5
V6_C1,6,35,31.0,266.0,0.00149438202247191,17.12,5.2,26.9,8.4,19.0,1.7
V6_C1,6,42,38.0,406.0,0.0022808988764044945,17.12,4.7,25.9,8.4,19.0,3.0
V6_C1,6,49,45.0,526.0,0.0029550561797752808,17.12,4.6,26.2,8.4,18.0,4.3
V6_C1,6,56,52.0,666.0,0.0037415730337078653,17.12,4.8,26.1,8.4,21.0,5.2
V6_C1,6,63,59.0,806.0,0.00452808988764045,17.12,5.1,25.9,8.4,23.0,6.5
V6_C1,6,70,66.0,946.0,0.005314606741573033,17.12,3.6,26.7,8.4,22.0,7.0
V6_C1,6,77,73.0,1086.0,0.006101123595505618,17.12,4.7,27.4,8.4,27.0,9.0
V6_C1,6,84,80.0,1216.0,0.006831460674157303,17.12,3.8,27.7,8.4,26.0,10.5
V6_C1,6,91,87.0,1346.0,0.007561797752808989,17.12,4.5,27.5,8.4,29.0,12.0
V6_C1,6,98,94.0,1481.0,0.008320224719101123,17.12,4.1,28.1,8.4,28.0,13.1
V6_C1,6,105,101.0,1621.0,0.009106741573033707,17.12,4.3,27.4,8.4,31.0,13.1
V6_C1,6,112,108.0,1761.0,0.009893258426966292,17.12,4.0,27.6,8.4,30.0,15.5
V6_C1,6,119,115.0,1891.0,0.010623595505617978,17.12,4.9,28.2,8.4,33.0,15.5
