ID_CULTIVO,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,DENSIDADE_PL_HA,N_DIAS,SUP_05_MEDIA,SUP_05_STD,SUP_05_MIN,SUP_05_MAX,SOLO_05_MEDIA,SOLO_05_STD,SOLO_05_MIN,SOLO_05_MAX,TEMP_05_MEDIA,TEMP_05_STD,TEMP_05_MIN,TEMP_05_MAX,PH_05_MEDIA,PH_05_STD,PH_05_MIN,PH_05_MAX,SUP_14_MEDIA,SUP_14_STD,SUP_14_MIN,SUP_14_MAX,SOLO_14_MEDIA,SOLO_14_STD,SOLO_14_MIN,SOLO_14_MAX,TEMP_14_MEDIA,TEMP_14_STD,TEMP_14_MIN,TEMP_14_MAX,PH_14_MEDIA,PH_14_STD,PH_14_MIN,PH_14_MAX,SAL_14_MEDIA,SAL_14_STD,SAL_14_MIN,SAL_14_MAX,NIVEL_MEDIA,NIVEL_STD,NIVEL_MIN,NIVEL_MAX,DELTA_OXI_SUP_MEDIA,DELTA_OXI_SUP_STD,DELTA_OXI_SUP_MIN,DELTA_OXI_SUP_MAX,DELTA_OXI_SOLO_MEDIA,DELTA_OXI_SOLO_STD,DELTA_OXI_SOLO_MIN,DELTA_OXI_SOLO_MAX,DENSIDADE_PL_M2,RACAO_TOTAL,RACAO_MEDIA,RACAO_STD,RACAO_POR_PL,RACAO_POR_DIA,AMPLITUDE_TERMICA,TAXA_O2_BAIXO,TEND_SUP_05,TEND_TEMP_05,TEND_PH_05,PESO_FINAL,PESO_INICIAL,GP_SEMANAL,SOBREVIVENCIA,KG_DESPESCADO,PRODUTIVIDADE_KG_HA,N_DESBASTES,PESO_MEDIO_DESPESCA,MES_POVOAMENTO,SEN_MES,COS_MES
V11C_C2,11C,270000.0,2.98,90604.0,109.0,3.8009345794392524,0.9353130166291926,2.0,5.5,3.7056603773584906,0.9384719280556163,1.9,5.4,29.318691588785047,0.6453214558215766,27.1,30.7,7.9943925233644855,0.23465421195635286,7.8,8.3,8.387500000000001,1.6785488720288937,4.2,11.6,8.282291666666667,1.67759193279607,4.1,11.5,31.436458333333334,1.2613376184508647,29.0,39.5,8.247252747252746,0.2531317879597539,7.7,8.7,35.644444444444446,4.947615726113285,26.0,41.0,98.17708333333333,8.275512121747692,45.0,100.0,4.604255319148936,1.6010020312303357,1.1000000000000005,8.0,4.592473118279569,1.608147500206897,1.0999999999999996,8.0,9.0604,2713.0,25.35514018691589,11.593957711010098,0.010048148148148148,24.889908256880734,2.1177667445482875,0.1588785046728972,-0.021018290651186947,0.01268296366621636,-0.005821660795520146,21.3,1.8,1.5214285714285716,0.4424486684038217,2054.0,689.261744966443,1.0,16.63,1,0.49999999999999994,0.8660254037844387
V11C_C3,11C,277600.0,2.98,93154.0,39.0,3.6540540540540536,0.66231689066765,2.1,4.6,3.554054054054054,0.6623168906676499,2.0,4.5,28.605405405405406,0.4807089359280545,27.6,29.9,8.2,0.0,8.2,8.2,9.059375,1.6267639309674817,7.0,12.7,8.853125,1.6622923105779115,6.8,12.6,30.759375,1.0124576852965887,29.2,33.0,8.428125,0.21286732957408053,8.0,8.8,30.625,1.4756081305138944,29.0,34.0,87.8125,14.697898686766461,55.0,100.0,5.338709677419355,1.7973457132402844,2.5,9.3,5.229032258064516,1.8255946151664484,2.3999999999999995,9.3,9.3154,174.0,5.2727272727272725,2.362106148026683,0.0006268011527377522,4.461538461538462,2.1539695945945923,0.13513513513513514,0.009151256519677575,-0.021834992887623902,5.507311879398477e-17,6.5,3.0,2.1666666666666665,0.0983657186565979,163.0,54.69798657718121,0.0,5.92,4,0.8660254037844387,-0.4999999999999998
V11C_C4,11C,250000.0,2.98,83893.0,97.0,3.5869565217391304,0.871933230544878,1.8,6.6,3.4847826086956526,0.8693732468460146,1.7,6.5,27.305434782608696,0.6760200482160696,25.6,28.7,8.097826086956522,0.014662959759729295,8.0,8.1,7.676404494382023,1.4286852245644126,2.4,11.3,7.461797752808989,1.4084570553669977,2.3,11.0,29.06179775280899,1.0363293634459796,25.6,31.0,8.13820224719101,0.1661773545845251,7.4,8.5,29.820224719101123,0.7000291836904983,27.0,32.0,98.98876404494382,2.9368132931278708,90.0,100.0,4.0702380952380945,1.5192562988725098,-0.7000000000000002,6.9,3.9583333333333335,1.521746644946399,-0.7000000000000002,6.799999999999999,8.3893,2820.0,29.68421052631579,18.428852931768137,0.01128,29.072164948453608,1.7563629702002928,0.1956521739130435,-0.014961488208467917,0.010259482035414063,9.56605847696209e-05,15.0,3.0,1.5,0.7515681983953318,2576.0,864.4295302013422,0.0,13.71,6,1.2246467991473532e-16,-1.0
V11C_C5,11C,260000.0,2.98,87248.0,194.0,3.2736842105263153,1.0638210236118848,0.8,6.1,3.173684210526316,1.062160891067795,0.7,6.0,28.74502923976608,0.8798505048613128,26.4,30.4,8.444705882352942,0.34658294168662307,8.0,9.0,7.914838709677419,2.122721652519765,2.0,14.6,7.714193548387097,2.131990068130585,1.8,14.8,31.115,1.0814734881911692,28.2,33.6,8.769620253164556,0.3620023684265538,7.6,9.7,33.04968944099379,3.3630366527812754,25.0,42.0,90.40372670807453,21.0726062940692,20.0,100.0,4.6367346938775515,2.250725351350704,-4.1,11.2,4.535374149659863,2.2831365928299086,-4.2,11.5,8.7248,4231.0,25.035502958579883,13.41902234175881,0.01627307692307692,21.809278350515463,2.369970760233919,0.36257309941520466,-0.009256684688790234,0.009784137103989373,0.005571483827780634,17.7,2.2,1.3294117647058825,0.4029561876494352,1748.0,586.5771812080537,3.0,18.66,9,-1.0,-1.8369701987210297e-16
V11C_C7,11C,220000.0,2.98,73826.0,139.0,3.8265151515151516,1.0285140729430784,1.5,6.2,3.7265151515151516,1.028959294032719,1.4,6.1,26.950833333333332,0.8303269306151841,24.8,28.8,8.78560606060606,0.1414928993754644,8.0,8.9,8.32436974789916,1.585044852413269,3.5,11.7,8.185593220338983,1.5877886263621246,3.4,11.5,29.153389830508473,1.3173842383104006,26.2,31.9,8.844736842105263,0.23464984467094507,8.4,9.6,24.36111111111111,7.98767547547831,11.0,35.0,97.11864406779661,5.446192885782923,80.0,100.0,4.4879310344827585,1.9915977930082776,-1.0,8.9,4.431304347826087,1.9871678346458577,-1.0000000000000004,8.799999999999999,7.3826,3038.0,22.503703703703703,9.251763909327854,0.01380909090909091,21.85611510791367,2.2025564971751415,0.21212121212121213,-0.01692914629085802,0.01711638472047928,-0.0017004349718483683,14.5,1.2,1.1076923076923078,0.786265568491454,2306.5,773.993288590604,8.0,14.68,7,-0.4999999999999997,-0.8660254037844388
V11C_C8,11C,250000.0,2.98,83893.0,109.0,3.595959595959596,0.9605397283712043,1.3,5.3,3.494949494949495,0.9589932792611795,1.2,5.2,29.235353535353536,0.5137523288219986,27.9,30.1,8.8,0.0,8.8,8.8,8.92134831460674,1.6202182730417103,0.8,12.5,8.873033707865169,1.3772307561440273,6.0,12.4,31.615730337078652,0.815043065845505,29.8,33.4,9.108108108108109,0.15417189904099218,8.8,9.4,32.56944444444444,3.2924428573175084,23.0,36.0,97.8409090909091,8.087007266002434,50.0,100.0,5.228048780487804,1.5163531943240554,-2.5,8.8,5.28780487804878,1.2568223937210166,2.1,8.8,8.3893,3346.0,33.7979797979798,18.935971490401588,0.013384,30.69724770642202,2.3803768017251166,0.25252525252525254,-0.013654061214299587,0.001963755885593502,5.593131097626163e-17,18.0,2.7,1.5,0.459253001101476,2364.5,793.4563758389262,1.0,21.71,12,-2.4492935982947064e-16,1.0
V12A_C1,12A,1225000.0,22.61,54180.0,135.0,3.7669291338582673,0.7735770467891906,2.3,5.4,3.6692913385826773,0.7698187594393258,2.2,5.3,27.1511811023622,1.4881471457013535,23.0,29.5,8.446511627906975,0.308738995661155,5.2,8.6,6.986666666666667,1.4361451251572106,3.4,12.1,6.917572815533981,1.4185614544453375,3.3,12.0,28.97843137254902,1.2207470080323215,25.9,32.2,8.349019607843138,0.24444120880535103,8.0,9.5,34.324271844660196,6.535220806078355,9.4,44.0,95.52038834951456,12.121552343666838,8.6,100.0,3.2284313725490197,1.1516993428980329,0.3999999999999999,7.699999999999999,3.2157843137254902,1.152829868408205,0.3999999999999999,7.7,5.418,11427.0,87.22900763358778,58.39923140767891,0.009328163265306123,84.64444444444445,1.8272502701868198,0.13385826771653545,-0.014852443034327856,0.030816853959386967,0.003262665770547203,20.3,2.2,1.3533333333333333,0.9917401147661778,17239.5,762.4723573639983,2.0,17.89,8,-0.8660254037844384,-0.5000000000000004
V12A_C2,12A,1390000.0,22.61,61477.0,150.0,3.6145833333333335,1.1506743993965338,1.6,7.7,3.5202797202797202,1.152679636213274,1.5,7.6,28.406293706293706,0.9974062689003917,26.0,30.7,8.019718309859154,0.25853911363542753,7.8,8.6,7.024031007751939,1.9383778331458004,2.0,12.5,6.894573643410853,1.940977124958562,1.8,12.3,30.157364341085273,0.9264157403838769,28.0,32.5,8.22983870967742,0.2622540934786128,7.6,8.9,34.8130081300813,5.142796320265513,27.0,43.0,92.40310077519379,14.335554237980379,50.0,100.0,3.3634920634920635,1.835847626557419,-1.7000000000000002,7.200000000000001,3.3408,1.8379115075752204,-1.6999999999999997,7.199999999999999,6.1477,11505.0,79.34482758620689,52.32502313403228,0.008276978417266188,76.7,1.7510706347915672,0.2708333333333333,-0.01417255743104127,-0.009988781745876484,-0.004440619781913353,24.6,1.7,1.2947368421052632,0.494832234958441,16350.0,723.1313578062804,11.0,24.64,12,-2.4492935982947064e-16,1.0
V12A_C3,12A,1400000.0,22.61,61920.0,151.0,3.126797385620915,0.7367251983527215,1.0,6.0,3.0267973856209154,0.7367251983527215,0.9,5.9,26.68223684210526,1.2411862502351338,24.1,29.1,8.256862745098038,0.15164219741599505,8.1,9.2,7.010791366906475,1.3938108872763715,2.7,10.6,6.802877697841727,1.37556009388551,2.6,10.4,28.22877697841727,1.2365358697374367,26.0,31.7,8.186231884057971,0.23026231597564578,7.7,8.7,31.158273381294965,2.534569662486406,27.0,42.0,94.35251798561151,12.600818531816717,25.0,100.0,3.889393939393939,1.4140655250998684,0.5,8.799999999999999,3.784090909090909,1.4026055114251066,0.2999999999999998,8.700000000000001,6.192,13610.0,92.58503401360544,71.77283833338585,0.009721428571428572,90.13245033112582,1.5465401363120073,0.35947712418300654,-0.0037796113987829108,0.018534652114957646,0.00039120762816088396,16.5,1.4,1.1785714285714286,0.8563032035149095,17563.0,776.780185758514,4.0,16.11,6,1.2246467991473532e-16,-1.0
V12A_C4,12A,1450000.0,22.61,64131.0,178.0,2.977536231884058,1.0825772247663341,0.6,5.7,2.8731884057971016,1.0808579894885526,0.5,5.6,28.226086956521737,1.0419174034418694,25.9,30.4,8.596350364963504,0.22076363428819187,8.3,9.0,6.805263157894737,1.9871296410970063,2.2,13.8,6.6496240601503755,1.9872557620143283,2.0,13.6,30.242957746478872,1.098767709969437,27.6,32.6,8.974045801526717,0.23323404760670438,7.7,9.6,29.022727272727273,5.2733897858444925,18.0,40.0,90.43165467625899,15.999116986373199,25.0,100.0,3.764655172413793,1.6827645116887568,-0.7999999999999998,10.0,3.716379310344828,1.684349646936002,-0.9000000000000004,10.0,6.4131,17448.9,107.04846625766872,55.874099386039475,0.012033724137931035,98.02752808988765,2.016870789957135,0.42028985507246375,-0.006647884572475934,-0.004743847461273807,-0.0019479127215156272,22.8,1.3,1.1411764705882355,0.74744,19053.5,842.702344095533,10.0,21.34,10,-0.8660254037844386,0.5000000000000001
V12A_C5,12A,1500000.0,22.61,66342.0,139.0,3.5523076923076924,1.026789637099586,0.3,5.4,3.4530769230769227,1.0297277777949636,0.2,5.3,25.81923076923077,1.0609412344337863,24.1,28.4,8.855263157894736,0.0996383773516353,8.5,8.9,7.075213675213675,1.7957279756605657,3.0,10.7,6.926495726495726,1.7992523908362208,2.8,10.6,27.689655172413794,1.081173220272258,25.2,31.0,9.106122448979592,0.2731323936103159,8.5,9.9,18.723809523809525,7.02535961041694,10.0,34.0,97.95652173913044,4.630924473556703,60.0,100.0,3.4405405405405403,1.6997528364911487,-1.4000000000000004,7.8,3.389189189189189,1.6961641939897716,-1.3999999999999995,7.700000000000001,6.6342,15224.0,114.46616541353383,74.11125429524759,0.010149333333333333,109.5251798561151,1.8704244031830228,0.3076923076923077,-0.01407609457236495,0.013723161874055837,0.0005873882933741781,16.3,1.8,1.0866666666666667,0.5813283480119917,11614.0,513.6665192392746,13.0,17.12,6,1.2246467991473532e-16,-1.0
V12A_C6,12A,1500000.0,22.61,66342.0,146.0,2.9963235294117645,1.2080230613591776,1.3,6.8,2.8772058823529414,1.2468013540888279,0.5,6.7,28.458333333333332,0.8603249578379563,25.9,30.4,8.799248120300751,0.18027598396394123,8.0,9.6,6.953571428571428,2.622972956396448,3.6,14.8,6.79375,2.6309413671683144,3.5,14.7,30.161607142857143,0.9432783101497517,28.4,33.4,9.169791666666667,0.1466250439344248,8.8,9.4,34.09574468085106,4.212294215480093,23.0,40.0,94.36363636363636,11.965337761904733,30.0,100.0,3.570873786407767,1.6265343325286274,1.0,8.700000000000001,3.5359223300970872,1.707300033875988,1.0,9.9,6.6342,14852.0,113.37404580152672,80.10333094753423,0.009901333333333333,101.72602739726027,1.703273809523811,0.6176470588235294,-0.015967507001972456,-0.001468612349137046,-0.002711133874383451,18.8,2.2,1.175,,,,,,11,-0.5000000000000004,0.8660254037844384
V12A_C7,12A,1100000.0,22.61,48651.0,61.0,4.207692307692308,0.6576387213225859,1.7,5.7,4.101960784313725,0.6628695787493742,1.6,5.6,27.10576923076923,0.7423897453067698,25.2,28.3,8.756521739130434,0.17009646182125857,8.5,8.9,7.204761904761905,0.9622008260923854,4.6,8.7,7.0476190476190474,0.9630333416810213,4.4,8.5,28.864285714285714,1.0626293731442726,27.2,31.8,8.957142857142857,0.3412968158121553,8.5,9.6,27.41025641025641,2.6922691340982907,18.0,32.0,96.66666666666667,11.189425902722641,50.0,100.0,2.87,1.0839623420462348,0.5,5.199999999999999,2.81,1.0843407544655286,0.39999999999999947,5.1,4.8651,6880.0,129.81132075471697,43.64368691847019,0.0062545454545454545,112.78688524590164,1.758516483516484,0.019230769230769232,0.00914128119080556,-0.021407954550487707,-0.007376405643017828,11.8,1.5,1.55,0.1721118181818181,2209.4,97.71782397169396,5.0,12.62,4,0.8660254037844387,-0.4999999999999998
V12B1_C1,12B1,30500.0,0.243,125514.0,128.0,6.097560975609756,0.6763527325238531,1.6,8.1,5.996747967479675,0.6758037060224691,1.5,8.0,26.61869918699187,0.6335367280742363,25.2,28.1,8.057377049180328,0.13168835788002656,7.7,8.3,7.150980392156862,0.7879972229482166,5.0,9.1,7.040196078431372,0.7871819400349214,4.9,9.0,28.067647058823532,0.9533849818956295,26.1,30.5,8.306666666666667,0.2556331641370927,7.8,9.2,24.564356435643564,4.348369445169437,16.0,33.0,97.12871287128714,9.30984786807672,60.0,100.0,1.0495049504950495,0.8313391320485566,-1.2000000000000002,4.699999999999999,1.0396039603960394,0.8352340040875721,-1.3000000000000007,4.7,12.5514,452.5,3.562992125984252,1.2925183459203513,0.014836065573770492,3.53515625,1.4489478718316633,0.008130081300813009,0.0016323743334432643,0.0026112457924353035,0.001922662662347838,13.9,1.8,0.86875,0.4736705769159605,192.0,790.1234567901234,0.0,13.29,6,1.2246467991473532e-16,-1.0
V12B1_C2,12B1,30000.0,0.243,123457.0,163.0,5.517341040462428,0.5212238330870731,3.8,8.2,5.417341040462428,0.5212238330870732,3.7,8.1,28.5051724137931,0.6446997994208803,26.7,30.0,8.011494252873563,0.41958561648626347,7.5,8.7,7.27112676056338,1.0001830318961513,3.3,10.2,7.159859154929578,1.009111670233131,3.2,10.2,29.975352112676056,0.6919175349254763,28.1,32.3,8.09925925925926,0.2525973423408423,7.4,8.6,35.82222222222222,4.598615409184812,26.0,41.0,94.96478873239437,11.290749349668307,40.0,100.0,1.7914285714285716,0.9804921473302893,-1.7000000000000002,4.6,1.78,0.9893097659225045,-1.7000000000000002,4.699999999999999,12.3457,1076.0,6.366863905325443,2.975349557164733,0.035866666666666665,6.601226993865031,1.470179698882955,0.0,-0.004685643335636736,0.00925004656725523,-0.007758883854631193,17.3,1.7,0.865,0.7867846805234796,382.0,1572.0164609053495,0.0,17.32,10,-0.8660254037844386,0.5000000000000001
