ID_CULTIVO,DATA_POVOAMENTO,DATA_ULTIMA_SEMANA,N_SEMANAS_DATADAS,MES_POVOAMENTO,ANO_POVOAMENTO
V6_C2,2022-11-07,2023-04-23,24,11,2022
V6_C3,2023-04-17,2023-10-16,20,4,2023
V6_C4,2023-08-28,2023-12-31,18,8,2023
V6_C5,2023-12-25,2024-06-02,23,12,2023
V6_C6,2024-05-27,2024-10-16,16,5,2024
V6_C7,2024-09-09,2025-01-12,18,9,2024
V6_C8,2025-01-13,2025-02-23,7,1,2025
V6_C9,2025-02-17,2025-03-30,6,2,2025
V7_C1,2022-08-01,2023-01-01,21,8,2022
V7_C10,2025-05-19,2025-06-29,6,5,2025
V7_C2,2022-12-26,2023-07-02,27,12,2022
V7_C3,2023-06-26,2023-10-29,18,6,2023
V7_C4,2023-10-23,2024-02-04,17,10,2023
V7_C5,2024-01-29,2024-10-16,20,1,2024
V7_C6,2024-06-10,2024-10-16,13,6,2024
V7_C7,2024-08-26,2025-12-29,18,8,2024
V7_C8,2024-12-30,2025-03-23,13,12,2024
V7_C9,2025-03-17,2025-05-25,10,3,2025
V8_C1,2022-08-22,2023-01-15,21,8,2022
V8_C2,2023-01-09,2023-08-06,29,1,2023
V8_C3,2023-07-31,2024-01-07,24,7,2023
V8_C4,2024-01-08,2024-05-05,18,1,2024
V8_C5,2024-05-06,2024-10-16,21,5,2024
V8_C6,2024-08-02,2025-01-05,17,8,2024
V8_C7,2025-01-06,2025-03-02,8,1,2025
V8_C8,2025-02-24,2025-04-20,8,2,2025
V8_C9,2025-04-14,2025-06-29,11,4,2025
V9_C1,2022-08-29,2022-11-20,12,8,2022
V9_C10,2024-12-09,2025-01-19,6,12,2024
V9_C11,2025-01-13,2025-03-02,7,1,2025
V9_C12,2025-02-24,2025-04-20,8,2,2025
V9_C13,2025-04-14,2025-06-22,10,4,2025
V9_C14,2025-06-16,2025-06-29,2,6,2025
V9_C2,2022-11-14,2023-04-30,24,11,2022
V9_C3,2023-04-24,2023-09-24,22,4,2023
V9_C4,2023-09-25,2023-11-05,6,9,2023
V9_C5,2023-11-06,2024-01-14,10,11,2023
V9_C6,2024-01-15,2024-03-24,10,1,2024
V9_C7,2024-03-18,2024-06-09,12,3,2024
V9_C8,2024-06-10,2024-10-06,17,6,2024
V9_C9,2024-09-30,2024-12-15,11,9,2024
